ID,TOTAL,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66,HD01_VD67,HD01_VD68,HD01_VD69,HD01_VD70,HD01_VD71,HD01_VD72,HD01_VD73,HD01_VD74,HD01_VD75,HD01_VD76,HD01_VD77,HD01_VD78,HD01_VD79,HD01_VD80,HD01_VD81,HD01_VD82,HD01_VD83,HD01_VD84,HD01_VD85,HD01_VD86,HD01_VD87,HD01_VD88,HD01_VD89,HD01_VD90,HD01_VD91,HD01_VD92,HD01_VD93,HD01_VD94,HD01_VD95,HD01_VD96,HD01_VD97,HD01_VD98,HD01_VD99,HD01_VD100,HD01_VD101,HD01_VD102,HD01_VD103,HD01_VD104,HD01_VD105,HD01_VD106,HD01_VD107,HD01_VD108,HD01_VD109,HD01_VD110,HD01_VD111,HD01_VD112,HD01_VD113,HD01_VD114,HD01_VD115,HD01_VD116,HD01_VD117,HD01_VD118,HD01_VD119
36081001800,3209,1211,1600,931,669,24,24,0,0,0,0,5,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,18,0,18,0,0,0,11,6,5,129,50,79,17,10,7,122,16,106,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081001900,1581,745,304,184,120,47,47,0,0,0,0,0,0,0,5,0,5,34,34,0,5,5,0,0,0,0,0,0,0,18,11,7,17,17,0,0,0,0,0,0,0,55,45,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,177,136,41,93,28,65,33,27,6,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,11,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081002000,1796,441,811,467,344,0,0,0,0,0,0,4,4,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,5,0,98,61,37,62,10,52,13,10,3,219,124,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,41,31,10,0,0,0,0,0,0,0,0,0,0,0,0,57,22,35,0,0,0,0,0,0,0,0,0
36081002200,2060,692,1070,748,322,4,4,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,41,17,24,6,6,0,22,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,13,16,5,11,94,28,66,0,0,0,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,18,9,9,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
36081002400,2204,571,1025,619,406,35,18,17,16,5,11,0,0,0,0,0,0,0,0,0,0,0,0,76,44,32,0,0,0,16,16,0,1,0,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,19,30,149,37,112,33,24,9,189,86,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,33,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081002500,6145,3486,2104,856,1248,0,0,0,49,19,30,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,13,13,0,290,0,290,0,0,0,153,82,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0
36081002600,2320,774,1235,775,460,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,13,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,19,11,8,11,0,11,29,0,29,111,34,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,49,8,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081002800,2749,1071,1282,583,699,0,0,0,0,0,0,24,5,19,0,0,0,11,5,6,12,6,6,0,0,0,0,0,0,0,0,0,31,9,22,45,17,28,0,0,0,0,0,0,0,0,0,0,0,0,20,15,5,34,19,15,0,0,0,116,52,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,18,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,62,0,0,0
36081003000,1424,580,634,259,375,0,0,0,0,0,0,38,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,33,24,9,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,5,0,5,11,0,11,34,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0
36081003100,1050,303,567,266,301,8,5,3,0,0,0,32,15,17,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,15,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,20,21,12,9,32,12,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
