glottocode, langauges
achi1257,Aceh [fr],Acehnese language [en],Acehnesiska [sv],Aceh’n kieli [fi],Achinese [en],Atjehs [nl],Aĉea lingvo [eo],Bahasa Aceh [id],Bahsa Acèh [ace],Basa Aceh [jv],Idioma achenés [an],Język aceh [pl],Lingua achinesa [gl],Língua achém [pt],aceh [fr],Ачехский язык [ru],আচে ভাষা [bn],ภาษาอาเจะห์ [th],アチェ語 [ja]
alge1239,Algerian Arabic [en],Algerisk arabiska [sv],Alžirski arapski [hr],Arabe algérien [fr],Arabeg Aljeria [br],Árabe argelino [es],Алжирски арапски јазик [mk],Алжирский диалект арабского языка [ru],لهجة جزائرية [ar]
amdo1237,Amdo Tibetan [en],Amdo Tibetan language [en],Amdoeg [br],Język amdo [pl],安多方言 [zh]
amer1248,ASL [sv],American Sign Language [de],Amerikaanse Gebarentaal [nl],Amerikansk tegnspråk [no],Amerikkalainen viittomakieli [fi],Američki znakovni jezik [hr],Langue des signes américaine [fr],Lengua de signos americana [es],Língua de Sinais Americana [pt],Usona signolingvo [eo],Амслен [ru],アメリカ手話 [ja],美國手語 [zh],미국 수화 [ko]
amha1245,Amharic [en],amharique [fr]
guer1243,Guerrero Amuzgo [en]
astu1245,Astureg [br],Asturia lingvo [eo],Asturiaans [li],Asturiagiella [se],Asturian [en],Asturian kieli [fi],Asturian language [en],Asturiansk [da],Asturianu [ast],Asturien [fr],Asturiera [eu],Asturies [af],Asturisch [nl],Asturische Sprache [de],Asturiska [sv],Asturleonese [en],Asturlleonès [ca],Asturyasça [tr],Asturyek [kw],Asturština [cs],Astuursche Spraak [nds],Astwrieg [cy],Astúríska [is],Astúrčina [sk],Astūriešu valoda [lv],Asztúriai nyelv [hu],Bable [en],Bahasa Asturia [id],Idioma asturiano [an],Język asturyjski [pl],Lenga asturian-a [pms],Lengoa asturiann-a [lij],Leonese [en],Lhéngua asturiana [mwl],Limba asturiană [ro],Lingua Asturiana [la],Lingua asturiana [co],Luenga asturiana [ext],Língua asturiana [pt],asturien [fr],asturoléonais [fr],bable [fr],léonais [fr],Â-sṳ̂-thù-lî-â-sṳ̂-ngî [hak],Łéngoa asturiana [vec],Αστουριανή γλώσσα [el],Астурийский язык [ru],Астуријски језик [sr],Աստուրիերեն [hy],אסטורית [he],ئاستۇرىيە تىلى [ug],لغة أستورية [ar],ภาษาอัสตูเรียส [th],アストゥリア語 [ja],阿斯图里亚斯语 [zh],아스투리아스어 [ko]
sout2996,Southern Aymara [en]
bahi1252,Bahing [en],Bahing jezik [hr],Bahing language [en],Bahingeg [br],Lenga Bahing [pms],ภาษาบาฮิง [th]
bamb1269,Bahasa Bambara [id],Bamanankan [bm],Bambara [de],Bambara keel [et],Bambara language [en],Bambara lingvo [eo],Bambara simi [qu],Bambaran kieli [fi],Bambareg [br],Bambaru valoda [lv],Bambarština [cs],Idioma bambara [es],Język bambara [pl],Lenga Bamanankan [pms],Lingua bambara [gl],Língua bambara [pt],Tiếng Bambara [vi],bambara [fr],Бамана [ru],بمبارا [ur],பம்பாரா மொழி [ta],バンバラ語 [ja],班巴拉语 [zh],밤바라어 [ko]
