Id2,Total,Speak only English,Spanish or Spanish Creole,"French (incl. Patois, Cajun)",French Creole,Italian,Portuguese or Portuguese Creole,German,Yiddish,Other West Germanic Languages,Scandinavian Languages,Greek,Russian,Polish,Serbo-Croatian,Other Slavic Languages,Armenian,Persian,Gujarati,Hindi,Urdu,Other Indic Languages,Other Indo-European Languages,Chinese,Japanese,Korean,"Mon-Khmer, Cambodian",Hmong,Thai,Laotian,Vietnamese,Other Asian Languages,Tagalog,Other Pacific Island Languages,Navajo,Other Native North American Languages,Hungarian,Arabic,Hebrew,African Languages,Other and Unspecified Languages
36081004500,3374,1616,633,0,0,10,0,0,0,0,0,63,10,44,14,0,0,9,0,0,85,19,162,218,37,25,0,0,36,0,66,0,146,0,0,0,0,160,21,0,0
36081004700,3813,2081,1021,53,0,7,54,0,0,21,0,37,37,51,0,0,0,0,0,26,34,123,18,54,0,26,0,0,0,0,0,7,0,0,0,0,0,145,0,18,0
36081005000,37,8,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081005100,2121,560,235,14,0,27,26,4,2,0,0,16,0,4,15,0,24,0,0,10,0,776,0,88,41,33,0,0,0,0,14,13,122,0,0,0,0,92,5,0,0
36081005200,2549,761,849,22,5,9,0,4,0,0,0,0,0,70,0,0,0,0,0,37,124,371,0,155,0,0,0,15,0,0,0,60,40,0,0,0,0,27,0,0,0
36081005300,3826,1766,807,12,0,86,129,0,0,13,69,93,0,64,15,90,0,0,0,0,0,149,42,155,113,47,0,0,43,0,0,12,52,0,0,0,0,26,43,0,0
36081005400,5276,2202,1830,39,0,17,72,0,0,0,0,0,0,180,0,1,0,0,0,10,77,377,0,169,35,0,0,0,16,0,0,1,172,0,0,0,0,78,0,0,0
36081005500,931,211,314,11,0,62,76,0,0,0,0,0,0,10,0,0,0,15,0,0,0,141,0,20,15,0,0,0,0,0,0,0,44,0,0,0,0,12,0,0,0
36081005700,4192,1386,1540,24,0,0,148,8,0,0,0,111,29,22,0,52,0,0,0,0,92,338,175,15,122,37,0,0,31,0,0,9,53,0,0,0,0,0,0,0,0
36081005800,5520,2437,1989,18,0,538,0,0,0,0,8,0,0,55,0,0,0,0,32,0,0,191,29,143,0,0,0,0,13,0,0,0,29,0,0,0,0,19,0,19,0
36081005900,4032,1857,919,30,9,50,158,20,0,0,0,386,7,6,147,52,7,0,0,0,0,70,18,101,9,54,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0
36081006100,5666,2555,1197,34,21,53,70,44,0,36,0,328,0,0,109,135,0,0,0,35,0,27,84,120,133,238,0,0,85,0,11,26,212,58,0,0,12,15,14,14,0
36081006201,5409,3655,1092,0,0,82,0,165,0,0,0,13,0,85,72,0,0,0,0,0,0,39,67,0,0,0,0,0,0,0,0,0,68,0,0,0,0,49,22,0,0
36081006202,6847,3575,1825,0,199,154,0,0,0,0,0,0,0,113,37,0,0,180,0,0,319,0,155,181,0,0,0,0,0,0,0,0,0,81,0,0,12,0,0,16,0
36081006300,5332,2463,1492,0,0,69,26,0,0,0,0,397,10,45,74,64,0,0,0,9,9,228,23,34,49,154,0,0,0,0,0,75,97,0,0,0,0,14,0,0,0
36081006501,3252,1596,519,102,0,84,67,8,48,0,0,200,36,8,90,28,15,0,0,0,0,18,67,75,34,9,0,0,8,0,0,0,35,18,0,0,18,142,8,19,0
36081006502,3715,1341,782,54,0,69,151,39,0,9,0,181,26,0,90,32,0,0,22,29,0,138,89,128,20,185,0,0,0,0,8,84,8,0,0,0,0,223,0,7,0
36081006900,4521,1520,1070,118,7,117,59,16,0,0,15,408,46,8,147,80,18,7,0,0,43,293,19,75,67,39,75,0,0,0,17,24,106,0,0,0,0,127,0,0,0
36081007100,3679,1671,690,0,0,36,194,0,0,0,0,229,15,22,25,48,0,0,35,7,116,29,154,50,17,90,9,0,12,0,0,82,24,0,0,0,0,115,9,0,0
36081007300,4289,1778,1003,0,0,45,34,0,0,30,0,66,31,30,76,49,0,0,0,0,78,295,231,30,85,31,0,0,150,0,0,35,148,0,0,0,36,28,0,0,0
36081007500,4196,1878,716,131,0,65,160,0,15,14,0,315,42,15,17,63,0,0,0,0,17,0,221,157,107,140,0,0,0,0,19,1,38,0,0,0,0,50,15,0,0
36081007700,1356,541,280,5,0,56,25,5,0,0,0,21,40,0,12,0,0,0,0,0,23,100,5,5,83,44,0,0,0,0,0,52,0,0,0,0,0,55,0,4,0
36081007900,3246,959,1390,15,0,30,19,90,0,0,19,50,0,0,66,23,0,0,0,32,35,192,34,26,47,41,0,0,0,0,29,8,55,0,0,0,0,86,0,0,0
36081008100,1146,335,458,0,0,17,0,11,0,0,4,19,0,9,76,12,0,0,0,0,14,65,18,32,0,32,0,0,0,0,0,17,0,22,0,0,0,0,5,0,0
36081008300,3337,977,1185,25,0,49,127,0,0,0,0,96,78,8,0,0,0,0,0,0,63,434,97,9,19,0,0,0,0,0,3,16,14,12,0,0,0,110,0,0,15
36081008500,1029,282,416,50,0,24,31,0,0,0,0,0,0,5,0,0,0,0,0,5,26,74,1,49,0,6,0,0,0,0,0,0,28,0,0,0,0,16,16,0,0
36081008600,2667,1077,1128,0,0,80,0,0,0,0,0,0,0,18,13,0,0,0,0,6,16,87,0,67,0,0,0,0,0,0,0,0,89,19,0,0,0,67,0,0,0
36081008700,4632,2795,1459,36,20,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,42,75,35,0,0,0,0,0,0,0,29,0,0,0,0,0,0,9,85,0
36081008800,3481,1891,1250,0,0,69,4,0,0,8,0,0,0,101,0,0,0,0,0,0,0,9,0,83,0,10,0,0,6,0,0,0,50,0,0,0,0,0,0,0,0
36081009100,2778,1375,707,54,0,101,0,0,0,72,0,164,50,0,29,13,0,0,0,0,0,74,0,14,0,23,0,0,17,0,0,43,8,0,0,0,9,25,0,0,0
36081009400,2755,1596,523,0,26,0,0,0,0,0,0,0,0,0,0,0,0,7,0,67,0,364,25,94,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081009500,2648,1047,375,36,0,33,52,0,0,0,0,485,12,9,39,0,23,0,0,0,39,256,18,14,0,17,0,0,0,0,0,23,8,0,0,0,47,96,5,14,0
36081009600,3864,2616,789,22,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,7,55,0,0,0,0,0,0,0,65,121,0,0,0,0,11,0,0,0
36081009700,3188,1715,151,23,0,54,0,38,9,0,0,760,71,34,46,0,24,0,0,0,0,0,71,72,17,0,0,0,9,0,0,6,80,0,0,0,8,0,0,0,0
36081009800,2692,1963,316,0,0,0,0,0,0,12,0,10,0,3,0,0,0,0,0,81,21,234,0,19,0,0,0,0,0,0,0,22,11,0,0,0,0,0,0,0,0
36081009900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081010000,3670,2424,708,0,66,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,24,233,23,105,0,0,0,0,0,0,0,0,45,16,0,0,0,0,0,0,0
36081010100,2445,1222,306,14,0,105,0,0,0,0,0,359,0,9,76,10,0,0,0,8,0,0,27,136,0,87,0,0,0,0,7,0,12,0,0,0,19,48,0,0,0
36081010200,3034,1825,848,17,2,17,0,0,0,5,0,0,0,0,0,0,0,0,0,6,15,155,8,12,0,0,0,0,0,0,16,63,45,0,0,0,0,0,0,0,0
36081010300,3598,1859,403,30,0,100,44,10,0,0,0,675,0,32,18,8,0,0,0,0,0,130,0,23,0,41,0,0,0,0,0,85,36,0,0,0,37,35,32,0,0
36081010400,3357,2583,180,0,26,0,0,0,0,0,0,0,0,0,0,0,0,12,0,33,307,29,0,174,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
36081010500,3762,1079,1451,41,16,10,86,25,0,0,0,179,23,0,134,41,0,0,52,0,37,224,21,44,20,0,0,0,0,0,0,0,0,0,0,0,0,259,0,20,0
36081010600,3458,2423,368,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22,67,0,444,0,71,0,0,0,0,0,0,0,18,23,0,0,0,0,0,0,6,0
36081010701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081010800,3355,1855,494,6,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0,20,6,879,0,0,0,0,0,0,0,0,42,0,43,0,0,0,0,0,0,0,0
